"","alpha","beta","sigma","theta","t","riskyChoiceProb_globalMean","averageReward_globalMean"
"370",0.3,2,0,7,70,0.880748100008568,4.888575046797
"371",0.3,2,0,7,71,0.876403460448483,4.89425515341588
"372",0.3,2,0,7,72,0.861586493769926,4.82181574798868
"373",0.3,2,0,7,73,0.863257946770499,4.78187640563959
"374",0.3,2,0,7,74,0.866441854938227,4.75505459181934
"375",0.3,2,0,7,75,0.861052250932119,4.934963773864
"376",0.3,2,0,7,76,0.863874453421767,4.913215170045
"377",0.3,2,0,7,77,0.872429504666087,4.76363919454858
"378",0.3,2,0,7,78,0.872152883191794,4.738378854668
"379",0.3,2,0,7,79,0.877163956137332,4.89855899177384
"380",0.3,2,0,7,80,0.884598482975222,4.86085627868516
"381",0.3,2,0,7,81,0.884454655280532,4.87691803234697
"382",0.3,2,0,7,82,0.879589099845757,4.68394454201233
"383",0.3,2,0,7,83,0.874848360648978,4.87501194236643
"384",0.3,2,0,7,84,0.878000868447431,4.73308709135396
"385",0.3,2,0,7,85,0.880535613156362,4.6967018877301
"386",0.3,2,0,7,86,0.861082561671944,4.90937837986853
"387",0.3,2,0,7,87,0.858919719675386,4.90458860557204
"388",0.3,2,0,7,88,0.862162730947436,4.85759600301897
"389",0.3,2,0,7,89,0.852561051118185,4.80612342789625
"390",0.3,2,0,7,90,0.850120428614594,4.9159950159754
"391",0.3,2,0,7,91,0.8664332619328,4.83650461954096
"392",0.3,2,0,7,92,0.8694215290198,5.00601953666052
"393",0.3,2,0,7,93,0.871362133992136,4.6759333979479
"394",0.3,2,0,7,94,0.871987086948652,4.76269259789639
"395",0.3,2,0,7,95,0.867536904285144,4.90644583045126
"396",0.3,2,0,7,96,0.882972773735208,4.86282710928028
"397",0.3,2,0,7,97,0.872481255552106,4.79172081570529
"398",0.3,2,0,7,98,0.851054812699961,4.84732910148557
"399",0.3,2,0,7,99,0.846862873603699,4.71648871262802
"400",0.3,2,0,7,100,0.839941371324232,4.7784321785147
"401",0.3,2,0.2,1,1,0.5,4.57734818865597
"402",0.3,2,0.2,1,2,0.553364232287683,4.50242396936049
"403",0.3,2,0.2,1,3,0.599144533009469,4.5299302413452
"404",0.3,2,0.2,1,4,0.625665356314129,4.61347034201706
"405",0.3,2,0.2,1,5,0.671840889835196,4.48198782798335
"406",0.3,2,0.2,1,6,0.690182207820413,4.53886414754589
"407",0.3,2,0.2,1,7,0.724906287735488,4.62549660066211
"408",0.3,2,0.2,1,8,0.740547861876389,4.93974429771172
"409",0.3,2,0.2,1,9,0.757845249417632,4.80469168727219
"410",0.3,2,0.2,1,10,0.770960254952204,4.82965778018085
"411",0.3,2,0.2,1,11,0.773846346545953,4.74251011520128
"412",0.3,2,0.2,1,12,0.787156716962511,4.86555673592847
"413",0.3,2,0.2,1,13,0.813166535252512,4.75254848799932
"414",0.3,2,0.2,1,14,0.813989763663098,4.78416828374198
"415",0.3,2,0.2,1,15,0.817642022959798,4.91950977559087
"416",0.3,2,0.2,1,16,0.847665112212752,4.82685961560303
"417",0.3,2,0.2,1,17,0.83636659411566,4.99653527442579
"418",0.3,2,0.2,1,18,0.839925134068178,4.83457620812671
"419",0.3,2,0.2,1,19,0.834035642356722,4.82903085231875
"420",0.3,2,0.2,1,20,0.822423988848401,4.95428850340116
"421",0.3,2,0.2,1,21,0.810157394483471,4.92760246627685
"422",0.3,2,0.2,1,22,0.817439802464291,4.67033292101651
"423",0.3,2,0.2,1,23,0.811289588182028,4.73799486507827
"424",0.3,2,0.2,1,24,0.824914000356577,4.70113492977152
"425",0.3,2,0.2,1,25,0.796910852173971,4.90901060156715
"426",0.3,2,0.2,1,26,0.816967225011133,4.83181282244491
"427",0.3,2,0.2,1,27,0.817628426355321,4.72482732939125
"428",0.3,2,0.2,1,28,0.817989523797769,4.93171145265552
"429",0.3,2,0.2,1,29,0.844050433098359,4.77327848525026
"430",0.3,2,0.2,1,30,0.822070738464527,4.67296680118782
"431",0.3,2,0.2,1,31,0.810831431404731,4.79091297126048
"432",0.3,2,0.2,1,32,0.814050821172936,4.76937883589191
"433",0.3,2,0.2,1,33,0.819016503119717,4.74983244034842
"434",0.3,2,0.2,1,34,0.81459330798302,4.80182718067464
"435",0.3,2,0.2,1,35,0.815172433863915,4.89265244879008
"436",0.3,2,0.2,1,36,0.825171674839367,4.61769775947908
"437",0.3,2,0.2,1,37,0.814800210178544,4.79229728067573
"438",0.3,2,0.2,1,38,0.815538885155608,4.78233000061423
"439",0.3,2,0.2,1,39,0.821542207849869,4.72963864940609
"440",0.3,2,0.2,1,40,0.821742228371616,4.83047898052691
"441",0.3,2,0.2,1,41,0.820409735854192,4.75845331104199
"442",0.3,2,0.2,1,42,0.805572719549637,4.81072961510495
"443",0.3,2,0.2,1,43,0.819551348015912,4.93715148267585
"444",0.3,2,0.2,1,44,0.841447700736793,4.78711127357091
"445",0.3,2,0.2,1,45,0.830297886690417,4.87285223692027
"446",0.3,2,0.2,1,46,0.826284011194295,4.86100341456294
